Plant;
SN of Inverter;
Time;Power(W)
28/03/2025 10.31;828
28/03/2025 10.33;817
28/03/2025 10.34;733
28/03/2025 10.35;694
28/03/2025 10.36;731
28/03/2025 10.37;713
28/03/2025 10.38;687
28/03/2025 10.39;672
28/03/2025 10.40;674
28/03/2025 10.41;786
28/03/2025 10.42;794
28/03/2025 10.43;811
28/03/2025 10.44;826
28/03/2025 10.45;868
28/03/2025 10.49;805
28/03/2025 10.50;772
28/03/2025 10.51;829
28/03/2025 10.52;812
28/03/2025 10.53;773
28/03/2025 10.54;781
28/03/2025 10.55;705
28/03/2025 10.56;684
28/03/2025 10.57;739
28/03/2025 10.58;735
28/03/2025 10.59;791
28/03/2025 11.00;730
28/03/2025 11.01;806
28/03/2025 11.02;807
28/03/2025 11.03;735
28/03/2025 11.04;749
28/03/2025 11.05;733
28/03/2025 11.06;681
28/03/2025 11.07;659
28/03/2025 11.08;651
28/03/2025 11.09;615
28/03/2025 11.10;615
28/03/2025 11.11;653
28/03/2025 11.12;687
28/03/2025 11.13;735
28/03/2025 11.14;774
28/03/2025 11.15;734
28/03/2025 11.16;715
28/03/2025 11.17;714
28/03/2025 11.18;711
28/03/2025 11.19;739
28/03/2025 11.20;703
28/03/2025 11.21;746
28/03/2025 11.22;846
28/03/2025 11.23;947
28/03/2025 11.24;948
28/03/2025 11.25;963
28/03/2025 11.26;948
28/03/2025 11.27;1027
28/03/2025 11.28;978
28/03/2025 11.29;980
28/03/2025 11.30;938
28/03/2025 11.31;875
28/03/2025 11.32;839
28/03/2025 11.33;765
28/03/2025 11.34;813
28/03/2025 11.35;803
28/03/2025 11.36;810
28/03/2025 11.37;808
28/03/2025 11.38;768
28/03/2025 11.39;823
28/03/2025 11.40;910
28/03/2025 11.41;865
28/03/2025 11.42;793
28/03/2025 11.43;904
28/03/2025 11.44;868
28/03/2025 11.45;854
28/03/2025 11.46;844
28/03/2025 11.47;848
28/03/2025 11.48;841
28/03/2025 11.49;895
28/03/2025 11.50;954
28/03/2025 11.51;921
28/03/2025 11.52;905
28/03/2025 11.53;974
28/03/2025 11.54;873
28/03/2025 11.55;957
28/03/2025 11.56;942
28/03/2025 11.57;946
28/03/2025 11.58;1103
28/03/2025 11.59;1108
28/03/2025 12.00;1040
28/03/2025 12.01;1079
28/03/2025 12.02;1098
28/03/2025 12.03;1011
28/03/2025 12.04;990
28/03/2025 12.05;1013
28/03/2025 12.06;1083
28/03/2025 12.07;1067
28/03/2025 12.08;1093
28/03/2025 12.09;1098
28/03/2025 12.10;1056
28/03/2025 12.11;1116
28/03/2025 12.12;1116
28/03/2025 12.13;1138
28/03/2025 12.14;1161
28/03/2025 12.15;1229
28/03/2025 12.16;1232
28/03/2025 12.17;1164
28/03/2025 12.18;1256
28/03/2025 12.19;1091
28/03/2025 12.20;1080
28/03/2025 12.21;1099
28/03/2025 12.22;1118
28/03/2025 12.23;1074
28/03/2025 12.24;1008
28/03/2025 12.25;989
28/03/2025 12.26;970
28/03/2025 12.27;1094
28/03/2025 12.28;1074
28/03/2025 12.29;1112
28/03/2025 12.30;1009
28/03/2025 12.31;958
28/03/2025 12.32;930
28/03/2025 12.33;933
28/03/2025 12.34;995
28/03/2025 12.35;922
28/03/2025 12.36;979
28/03/2025 12.37;1059
28/03/2025 12.38;1075
28/03/2025 12.39;1102
28/03/2025 12.40;1133
28/03/2025 12.41;1145
28/03/2025 12.42;1075
28/03/2025 12.43;1225
28/03/2025 12.44;1172
28/03/2025 12.45;1231
28/03/2025 12.46;1335
28/03/2025 12.47;1242
28/03/2025 12.48;1167
28/03/2025 12.49;1109
28/03/2025 12.50;1144
28/03/2025 12.51;1191
28/03/2025 12.52;1102
28/03/2025 12.53;1055
28/03/2025 12.54;1142
28/03/2025 12.55;1175
28/03/2025 12.56;1310
28/03/2025 12.57;1221
28/03/2025 12.58;1259
28/03/2025 12.59;1253
28/03/2025 13.00;1322
28/03/2025 13.01;1320
28/03/2025 13.02;1462
28/03/2025 13.03;1291
28/03/2025 13.04;1372
28/03/2025 13.05;1419
28/03/2025 13.06;1407
28/03/2025 13.07;1323
28/03/2025 13.08;1337
28/03/2025 13.09;1472
28/03/2025 13.10;1399
28/03/2025 13.11;1412
28/03/2025 13.12;1356
28/03/2025 13.13;1450
28/03/2025 13.14;1494
28/03/2025 13.15;1409
28/03/2025 13.16;1385
28/03/2025 13.17;1383
28/03/2025 13.18;1454
28/03/2025 13.19;1494
28/03/2025 13.20;1515
28/03/2025 13.21;1488
28/03/2025 13.22;1549
28/03/2025 13.23;1484
28/03/2025 13.24;1375
28/03/2025 13.25;1454
28/03/2025 13.26;1412
28/03/2025 13.27;1415
28/03/2025 13.28;1364
28/03/2025 13.29;1289
28/03/2025 13.30;1270
